name,level,school,ritual,casting_time,range,duration,cast_with,hue1,hue2,bright1,bright2,attack_type,saving_throw,availableWhen,onCasting,onCast,onPlayerAttacks,onPlayerHitsTarget,onDispel,die_str,ammo_count,bonus_threshold,bonus_per_level,bonus_type,bonus_max,description,higher_levels,components_material,components_somatic,components_verbal,components_materials_description,classes_0,classes_1,classes_2,classes_3,classes_4,classes_5,classes_6,tags_0,tags_1,tags_2,tags_3,tags_4,tags_5,tags_6,tags_7
Absorb Elements,1,abjuration,FALSE,"1 reaction, (when you take acid, cold, fire, lightning, or thunder damage)",Self,1 round,,,,,,buff,,,,,,,,+1d6,1,1,1d6,damage,,"The spell captures some of the incoming energy, lessening its effect on you and storing it for your next melee attack. You have **resistance** to the triggering damage type until the start of your next turn. Also, the **first time** you hit with a **melee attack** on your **next turn**, the target takes an extra {spell_DieStrRaw} damage of the triggering type, and the spell ends.","When you cast this spell using a spell slot of 2nd level or higher, the extra damage increases by 1d6 for each slot level above 1st.",FALSE,TRUE,FALSE,,druid,ranger,wizard,,,,,druid,ranger,wizard,level1,,,,
Acid Splash,cantrip,conjuration,FALSE,1 action,60 feet,Instantaneous,,,,,,,Dexterity,,,,,,,1d6(acid),1,c-1,0.166667d6,damage,,"You hurl a bubble of acid. Choose one creature within range, or choose two creatures within range that are within **5 feet** of each other. A target must succeed on a **Dexterity** saving throw or take {spell_DieStrRaw} **acid damage**.","This spell's damage increases by 1d6 when you reach 5th level (2d6), 11th level (3d6), and 17th level (4d6).",FALSE,TRUE,TRUE,,sorcerer,wizard,,,,,,sorcerer,wizard,cantrip,,,,,
Aid,2,abjuration,FALSE,1 action,30 feet,8 hours,,,,,,,,,,,,,,,5,2,5,hit points,,Your spell bolsters your allies with toughness and resolve. Choose up to three creatures within range. Each target’s hit point maximum and current hit points increase by {spell_AmmoCount} for the duration.,"When you cast this spell using a spell slot of 3rd level or higher, a target’s hit points increase by an additional 5 for each slot level above 2nd.",TRUE,TRUE,TRUE,a tiny strip of white cloth,cleric,paladin,,,,,,cleric,paladin,level2,,,,,
Alarm,1,abjuration,TRUE,1 action,30 feet,8 hours,,,,,,,,,,,,,,,1,,,,,"You set an alarm against unwanted intrusion. Choose a door, a window, or an area within range that is no larger than a **20-foot** cube. Until the spell ends, an alarm alerts you whenever a **Tiny or larger** creature touches or enters the warded area. When you cast the spell, you can designate creatures that won't set off the alarm. You also choose whether the alarm is mental or audible.

A mental alarm alerts you with a ping in your mind if you are within **1 mile** of the warded area. This ping awakens you if you are sleeping.

An audible alarm produces the sound of a hand bell for **10 seconds** within **60 feet**",,TRUE,TRUE,TRUE,a tiny bell and a piece of fine silver wire,ranger,wizard,,,,,,ranger,wizard,level1,,,,,
Alter Self,2,transmutation,FALSE,1 action,Self,"Concentration, up to 1 hour",,,,,,,,,,,,,,,1,,,,,"You assume a different form. When you cast the spell, choose one of the following options, the effects of which last for the duration of the spell. While the spell lasts, you can end one option as an action to gain the benefits of a different one.

* **Aquatic Adaptation**. You adapt your body to an aquatic environment, sprouting gills and growing webbing between your fingers. You can breathe underwater and gain a swimming speed equal to your walking speed.

* **Change Appearance**. You transform your appearance. You decide what you look like, including your height, weight, facial features, sound of your voice, hair length, coloration, and distinguishing characteristics, if any. You can make yourself appear as a member of another race, though none of your statistics change. You also can't appear as a creature of a different size than you, and your basic shape stays the same; if you're bipedal, you can't use this spell to become quadrupedal, for instance. At any time for the duration of the spell, you can use your action to change your appearance in this way again.

* **Natural Weapons**. You grow claws, fangs, spines, horns, or a different natural weapon of your choice. Your unarmed strikes deal **1d6** bludgeoning, piercing, or **slashing damage**, as appropriate to the natural weapon you chose, and you are proficient with your unarmed strikes. Finally, the natural weapon is magic and you have a **+1** bonus to the attack and damage rolls you make using it.",,FALSE,TRUE,TRUE,,sorcerer,wizard,,,,,,sorcerer,wizard,level2,,,,,
Animal Friendship,1,enchantment,FALSE,1 action,30 feet,24 hours,,,,,,,Wisdom,,,,,,,,1,1,1,target,,"This spell lets you convince {spell_AmmoCount_word} {Plural(spell_AmmoCount, ""beast"", ""beasts"")} that you mean {Plural(spell_AmmoCount, ""it"", ""them"")} no harm. Choose a beast that you can see within range. It must see and hear you. If the beast's **Intelligence** is **4** or higher, the spell fails. Otherwise, the beast must succeed on a **Wisdom** saving throw or be **charmed** by you for the spell's duration. If you or one of your companions harms the target, the spell ends.","When you cast this spell using a spell slot of 2nd level or higher, you can affect one additional beast for each slot level above 1st.",TRUE,TRUE,TRUE,a morsel of food,bard,druid,ranger,,,,,bard,druid,ranger,level1,,,,
Animal Messenger,2,enchantment,TRUE,1 action,30 feet,24 hours,,,,,,,,,,,,,,,1,2,48hr,duration,,"By means of this spell, you use an animal to deliver a message. Choose a **Tiny** beast you can see within range, such as a squirrel, a blue jay, or a bat. You specify a **location**, which you must have visited, and a **recipient** who matches a general description, such as *“a man or woman dressed in the uniform of the town guard”* or *“a red-haired dwarf wearing a pointed hat.”* You also speak a message of up to twenty-five words. The target beast travels for the duration of the spell toward the specified location, covering about **50 miles** per **24 hours** for a flying messenger, or **25 miles** for other animals.

When the messenger arrives, it delivers your message to the creature that you described, replicating the sound of your voice. The messenger speaks only to a creature matching the description you gave. If the messenger doesn’t reach its destination before the spell ends, the message is lost, and the beast makes its way back to where you cast this spell.

If you cast this spell using a spell slot of 3rd level or higher, the **duration** of the spell increases by **48 hours** for each slot level above 2nd.","If you cast this spell using a spell slot of 3rd level or higher, the duration of the spell increases by 48 hours for each slot level above 2nd.",TRUE,TRUE,TRUE,a morsel of food,bard,druid,ranger,,,,,bard,druid,ranger,level2,,,,
Animal Shapes,8,transmutation,FALSE,1 action,30 feet,"Concentration, up to 24 hours",,,,,,,,,,,,,,,1,,,,,"Your magic turns others into beasts. Choose any number of willing creatures that you can see within range. You transform each target into the form of a **Large** or smaller beast with a challenge rating of **4** or lower.  On subsequent turns, you can use your action to transform affected creatures into new forms.

The transformation lasts for the duration for each target, or until the target drops to **0 hit points** or **dies**.  You can choose a different form for each target. A target's game statistics are replaced by the statistics of the chosen beast, thought the target retains its alignment and Intelligence, Wisdom, and Charisma scores. The target assumes the hit points of its new form, and when it reverts to its normal form, it returns to the number of hit points it had before it transformed. If it reverts as a result of dropping to **0 hit points**, any excess damage carries over to its normal form. As long as the excess damage doesn't reduce the creature's normal form to **0 hit points**, it isn't knocked **unconscious**. The creature is limited in the actions it can perform by the nature of its new form, and it can't speak or cast spells.

The target's gear melds into the new form. The target can't activate, wield, or otherwise benefit from any of its equipment.",,FALSE,TRUE,TRUE,,druid,,,,,,,druid,level8,,,,,,
Animate Dead,3,necromancy,FALSE,1 minute,10 feet,Instantaneous,,,,,,,,,,,,,,,1,3,2,target,,"This spell creates {spell_AmmoCount_word} undead {Plural(spell_AmmoCount, ""servant"", ""servants"")}, created from a pile of bones or a corpse of a **Medium** or **Small** humanoid within range{Plural(spell_AmmoCount, """", "" (one pile of bones or corpse is required for each servant you create)"")}. 

Your spell imbues targets with a foul mimicry of life, raising them as undead creatures. Targets become skeletons if you chose bones, or zombies if you chose corpses (the DM has the creature’s game statistics).

On each of your turns, you can use a **bonus action** to mentally command any creature you made with this spell if the creature is within **60 feet** of you (if you control multiple creatures, you can command any or all of them at the same time, issuing the same command to each one). You decide what action the creature will take and where it will move during its next turn, or you can issue a general command, such as to guard a particular chamber or corridor. If you issue no commands, the creature only defends itself against hostile creatures. Once given an order, the creature continues to follow it until its task is complete.

Animated creatures are under your control for **24 hours**, after which time they stop obeying any commands you’ve given them. To maintain control of the creature for another **24 hours**, you must cast this spell on the creature again **before** the current 24-hour period ends. This use of the spell **reasserts** your control over up to four creatures you have animated with this spell, rather than animating new creatures.","When you cast this spell using a spell slot of 4th level or higher, you animate or reassert control over two additional undead creatures for each slot level above 3rd. Each of the creatures must come from a different corpse or pile of bones.",TRUE,TRUE,TRUE,"a drop of blood, a piece of flesh, and a pinch of bone dust",cleric,wizard,,,,,,cleric,wizard,level3,,,,,
Animate Objects,5,transmutation,FALSE,1 action,120 feet,"Concentration, up to 1 minute",,,,,,,,,,,,,,,10,5,2,target,,"Objects come to life at your command. Choose up to {spell_AmmoCount_word} nonmagical objects within range that are not being worn or carried. **Medium** targets count as two objects, **Large** targets count as four objects, **Huge** targets count as eight objects. You can't animate any object larger than **Huge**. Each target animates and becomes a creature under your control until the spell ends or until reduced to **0 hit points**.

As a **bonus action**, you can mentally command any creature you made with this spell if the creature is within **500 feet** of you (if you control multiple creatures, you can command any or all of them at the same time, issuing the same command to each one). You decide what action the creature will take and where it will move during its next turn, or you can issue a general command, such as to guard a particular chamber or corridor. If you issue no commands, the creature only defends itself against hostile creatures. Once given an order, the creature continues to follow it until its task is complete.

| Size   | HP | **AC** | Attack                   | Str | Dex |
|---|---|---|---|---|---|
| Tiny   | 20 | 18 | +8 to hit, 1d4+4 damage  |   4 |  18 |
| Small  | 25 | 16 | +6 to hit, 1d8+2 damage  |   6 |  14 |
| Medium | 40 | 13 | +5 to hit, 2d6+1 damage  |  10 |  12 |
| Large  | 50 | 10 | +6 to hit, 2d10+2 damage |  14 |  10 |
| Huge   | 80 | 10 | +8 to hit, 2d12+2 damage |  18 |   6 |

An animated object is a construct with **AC**, hit points, attacks, Strength, and Dexterity determined by its size. Its Constitution is 10 and its Intelligence and Wisdom are 3, and its Charisma is 1. Its speed is **30 feet**; if the object lacks legs or other appendages it can use for locomotion, it instead has a flying speed of **30 feet** and can hover. If the object is securely attached to a surface or a larger object, such as a chain bolted to a wall, its speed is 0. It has blindsight with a radius of **30 feet** and is blind beyond that distance. When the animated object drops to **0 hit points**, it reverts to its original object form, and any remaining damage carries over to its original object form.

If you command an object to attack, it can make a single melee attack against a creature within **5 feet** of it. It makes a slam attack with an attack bonus and **bludgeoning damage** determined by its size. The DM might rule that a specific object inflicts slashing or **piercing damage** based on its form.","If you cast this spell using a spell slot of 6th level or higher, you can animate two additional objects for each slot level above 5th.",FALSE,TRUE,TRUE,,bard,sorcerer,wizard,,,,,bard,sorcerer,wizard,level5,,,,
