name,index,kind,effect,effectAvailableWhen,playToEndOnExpire,hue,saturation,brightness,opacity,scale,rotation,degreesOffset,flipHorizontal,moveLeftRight,moveUpDown,fade,fadeIn,lifespan,fadeOut,dieRollEffects,trailingEffects,startSound,endSound
Greatsword,0,Windup,GreatSword.Weapon,,x,player,,,,,,,,,150,,,,,,,SwordDraw,SwordSlash
Greatsword,1,Windup,GreatSword.Magic,usesMagicThisRoll == true,x,,,,,,,,,,150,,,,,,,,
Battleaxe,0,Windup,BattleAxe.Weapon,,x,player,,,,,,,,,,,,,,,,SwordDraw,SwordSlash
Battleaxe,1,Windup,BattleAxe.MagicA,usesMagicThisRoll == true,x,,,,,,,,,,,,,,,,,,
Battleaxe,2,Windup,BattleAxe.MagicB,usesMagicThisRoll == true,x,,,,,,,,,,,,,,,,,,
Shortsword,0,Windup,LongSword.Weapon,,x,player,,,,0.7,,,,,150,,,,,,,SwordDraw,SwordSlash
Shortsword,1,Windup,LongSword.MagicA,usesMagicThisRoll == true,x,,,,,0.7,,,,,150,,,,,,,,
Shortsword,2,Windup,LongSword.MagicB,usesMagicThisRoll == true,x,,,,,0.7,,,,,150,,,,,,,,
Javelin,0,Windup,Javelin.Weapon,,x,,,,,,,,,,150,,,,,,,SwordDraw,SwordSlash
Javelin,1,Windup,Javelin.Magic,usesMagicThisRoll == true,x,,,,,,,,,,150,,,,,,,,
Dagger,0,Windup,LongSword.Weapon,,x,player,,,,0.35,,,,,150,,,,,,,,
Dagger,1,Windup,LongSword.MagicA,usesMagicThisRoll == true,x,,,,,0.35,,,,,150,,,,,,,,
Dagger,2,Windup,LongSword.MagicB,usesMagicThisRoll == true,x,,,,,0.35,,,,,150,,,,,,,,
Greataxe,0,Windup,BattleAxe.Weapon,,x,player,,,,1.2,,,,,90,,,,,,,SwordDraw,SwordSlash
Greataxe,1,Windup,BattleAxe.MagicA,usesMagicThisRoll == true,x,,,,,0.8,,,,,90,,,,,,,,
Greataxe,2,Windup,BattleAxe.MagicB,usesMagicThisRoll == true,x,,,,,,,,,,90,,,,,,,,
Handaxe,0,Windup,BattleAxe.Weapon,,x,,,,,0.6,,,,,90,,,,,,,SwordDraw,SwordSlash
Handaxe,1,Windup,BattleAxe.MagicA,usesMagicThisRoll == true,x,player,,,,0.6,,,,,90,,,,,,,,
Handaxe,2,Windup,BattleAxe.MagicB,usesMagicThisRoll == true,x,,,,,0.6,,,,,90,,,,,,,,
Longsword,0,Windup,LongSword.Weapon,,x,player,,,,,,,,,150,,,,,,,SwordDraw,SwordSlash
Longsword,1,Windup,LongSword.MagicA,usesMagicThisRoll == true,x,,,,,,,,,,150,,,,,,,,
Longsword,2,Windup,LongSword.MagicB,usesMagicThisRoll == true,x,,,,,,,,,,150,,,,,,,,
Warhammer,0,Windup,WarHammer.Weapon,,x,player,,,,,,,,,150,,,,,,,SwordDraw,SwordSlash
Warhammer,1,Windup,WarHammer.MagicHandle,usesMagicThisRoll == true,x,,,,,,,,,,150,,,,,,,,
Warhammer,2,Windup,WarHammer.MagicFrontHead,usesMagicThisRoll == true,x,,,,,,,,,,150,,,,,,,,
Warhammer,3,Windup,WarHammer.MagicBackHead,usesMagicThisRoll == true,x,,,,,,,,,,150,,,,,,,,
Unich-er,0,Windup,LongSword.Weapon,,x,player,,,,,,,,,150,,,,,,,Unich-er[7],SwordSlash
Unich-er,1,Windup,LongSword.MagicA,usesMagicThisRoll == true,x,,,,,,,,,,150,,,,,,,,
Unich-er,2,Windup,LongSword.MagicB,usesMagicThisRoll == true,x,,,,,,,,,,150,,,,,,,,
Dagger of Warning,0,Windup,LongSword.Weapon,,x,player,,,,0.35,,,,,150,,,,,,,,
Dagger of Warning,1,Windup,LongSword.MagicB,usesMagicThisRoll == true,x,,,,,0.35,,,,,150,,,,,,,,
Quarterstaff,0,Windup,Javelin.Weapon,,x,,,,,0.8,,,,,150,,,,,,,SwordDraw,SwordSlash
Quarterstaff,1,Windup,Javelin.Magic,usesMagicThisRoll == true,x,player,,,,0.8,,,,,150,,,,,,,,
Club,0,Windup,Club.Weapon,,x,player,50,,,,,,,,150,,,,,,,SwordDraw,SwordSlash
Club,1,Windup,Club.Magic,usesMagicThisRoll == true,x,player,,,,,,,,,150,,,,,,,,
Longbow,0,Windup,Bow.Bow,,x,player,,,,,,,,,,,,,,,,ArrowDraw,ArrowFire
Longbow,1,Windup,Bow.BowMagic,usesMagicThisRoll == true,x,player,,,,,,,,,,,,,,,,,
Longbow,2,Windup,Bow.MagicArrow,usesMagicAmmunitionThisRoll == true,x,player,,,,,,,,,,,,,,,,,
Longbow,3,Windup,Bow.ArrowFlame,ammunitionOnFire == true,x,30,,,,,,,,,,,,,,,,,
Shortbow,0,Windup,Bow.Bow,,x,player,,,,0.6,,,,,,,,,,,,ArrowDraw,ArrowFire
Shortbow,1,Windup,Bow.BowMagic,usesMagicThisRoll == true,x,player,,,,0.6,,,,,,,,,,,,,
Shortbow,2,Windup,Bow.MagicArrow,usesMagicAmmunitionThisRoll == true,x,player,,,,0.6,,,,,,,,,,,,,
Shortbow,3,Windup,Bow.ArrowFlame,ammunitionOnFire == true,x,player,,,,0.6,,,,,,,,,,,,,
Rapier,0,Windup,Rapier.Weapon,,x,player,,,,,,,,,,,,,,,,SwordDraw,SwordSlash
Rapier,1,Windup,Rapier.MagicBack,usesMagicThisRoll == true,x,220,,,,,,,,,,,,,,,,,
Rapier,2,Windup,Rapier.MagicFront,usesMagicThisRoll == true,x,25,,,,,,,,,,,,,,,,,
